0001	Bulbasaur	Bulbasaur   Seed Pokémon	たねポケモン	Seed Pokémon
0598	Ferrothorn	Ferrothorn	Thorn Pod Pokémon	とげだまポケモン	Spike Ball Pokémon
0599	Klink	Klink	Gear Pokémon	はぐるまポケモン	Gear Pokémon
0600	Klang	Klang	Gear Pokémon	はぐるまポケモン	Gear Pokémon
0601	Klinklang	Klinklang	Gear Pokémon	はぐるまポケモン	Gear Pokémon
0602	Tynamo	Tynamo	EleFish Pokémon	でんきうおポケモン	Electric Fish Pokémon
0603	Eelektrik	Eelektrik	EleFish Pokémon	でんきうおポケモン	Electric Fish Pokémon
0604	Eelektross	Eelektross	EleFish Pokémon	でんきうおポケモン	Electric Fish Pokémon
0605	Elgyem	Elgyem	Cerebral Pokémon	ブレインポケモン	Brain Pokémon
0606	Beheeyem	Beheeyem	Cerebral Pokémon	ブレインポケモン	Brain Pokémon
0607	Litwick	Litwick	Candle Pokémon	ろうそくポケモン	Candle Pokémon
0608	Lampent	Lampent	Lamp Pokémon	ランプポケモン	Lamp Pokémon
0609	Chandelure	Chandelure	Luring Pokémon	いざないポケモン	Temptation Pokémon
0610	Axew	Axew	Tusk Pokémon	キバポケモン	Tusk Pokémon
0611	Fraxure	Fraxure	Axe Jaw Pokémon	あごオノポケモン	Jaw Ax Pokémon
0612	Haxorus	Haxorus	Axe Jaw Pokémon	あごオノポケモン	Jaw Ax Pokémon
0613	Cubchoo	Cubchoo	Chill Pokémon	ひょうけつポケモン	Freezing Pokémon
0614	Beartic	Beartic	Freezing Pokémon	とうけつポケモン	Frozen Pokémon
0615	Cryogonal	Cryogonal	Crystallizing Pokémon	けっしょうポケモン	Crystal Pokémon
0616	Shelmet	Shelmet	Snail Pokémon	マイマイポケモン	Snail Pokémon
0617	Accelgor	Accelgor	Shell Out Pokémon	からぬけポケモン	Deshelled Pokémon
0618	Stunfisk	Stunfisk	Trap Pokémon	トラップポケモン	Trap Pokémon
0619	Mienfoo	Mienfoo	Martial Arts Pokémon	ぶじゅつポケモン	Martial Arts Pokémon
0620	Mienshao	Mienshao	Martial Arts Pokémon	ぶじゅつポケモン	Martial Arts Pokémon
0621	Druddigon	Druddigon	Cave Pokémon	ほらあなポケモン	Cave Pokémon
0622	Golett	Golett	Automaton Pokémon	ゴーレムポケモン	Golem Pokémon
0623	Golurk	Golurk	Automaton Pokémon	ゴーレムポケモン	Golem Pokémon
0624	Pawniard	Pawniard	Sharp Blade Pokémon	はものポケモン	Sharp Edge Pokémon
0625	Bisharp	Bisharp	Sword Blade Pokémon	とうじんポケモン	Sword Blade Pokémon
0626	Bouffalant	Bouffalant	Bash Buffalo Pokémon	ずつきうしポケモン	Headbutt Bull Pokémon
0627	Rufflet	Rufflet	Eaglet Pokémon	ヒナわしポケモン	Eaglet Pokémon
0628	Braviary	Braviary	Valiant Pokémon	ゆうもうポケモン	Daring Pokémon
0628	Braviary	Braviary
Hisuian Form	Battle Cry Pokémon	おたけびポケモン	War Cry Pokémon
0629	Vullaby	Vullaby	Diapered Pokémon	おむつポケモン	Diaper Pokémon
0630	Mandibuzz	Mandibuzz	Bone Vulture Pokémon	ほねわしポケモン	Bone Eagle Pokémon
0631	Heatmor	Heatmor	Anteater Pokémon	アリクイポケモン	Anteater Pokémon
0632	Durant	Durant	Iron Ant Pokémon	てつアリポケモン	Iron Ant Pokémon
0633	Deino	Deino	Irate Pokémon	そぼうポケモン	Wild Pokémon
0634	Zweilous	Zweilous	Hostile Pokémon	らんぼうポケモン	Violent Pokémon
0635	Hydreigon	Hydreigon	Brutal Pokémon	きょうぼうポケモン	Brutal Pokémon
0636	Larvesta	Larvesta	Torch Pokémon	たいまつポケモン	Torch Pokémon
0637	Volcarona	Volcarona	Sun Pokémon	たいようポケモン	Sun Pokémon
0638	Cobalion	Cobalion	Iron Will Pokémon	てっしんポケモン	Iron Will Pokémon
0639	Terrakion	Terrakion	Cavern Pokémon	がんくつポケモン	Cavern Pokémon
0640	Virizion	Virizion	Grassland Pokémon	そうげんポケモン	Grassland Pokémon
0641	Tornadus	Tornadus	Cyclone Pokémon	せんぷうポケモン	Whirlwind Pokémon
0642	Thundurus	Thundurus	Bolt Strike Pokémon	らいげきポケモン	Lightning Strike Pokémon
0643	Reshiram	Reshiram	Vast White Pokémon	はくようポケモン	White Yang Pokémon
0644	Zekrom	Zekrom	Deep Black Pokémon	こくいんポケモン	Black Yin Pokémon
0645	Landorus	Landorus	Abundance Pokémon	ほうじょうポケモン	Fertility Pokémon
0646	Kyurem	Kyurem	Boundary Pokémon	きょうかいポケモン	Boundary Pokémon
0647	Keldeo	Keldeo	Colt Pokémon	わかごまポケモン	Young Colt Pokémon
0648	Meloetta	Meloetta	Melody Pokémon	せんりつポケモン	Melody Pokémon
0649	Genesect	Genesect	Paleozoic Pokémon	こせいだいポケモン	Paleozoic Pokémon
0650	Chespin	Chespin	Spiny Nut Pokémon	いがぐりポケモン	Shelled Chestnut Pokémon
0651	Quilladin	Quilladin	Spiny Armor Pokémon	とげよろいポケモン	Spiky Armor Pokémon
0652	Chesnaught	Chesnaught	Spiny Armor Pokémon	とげよろいポケモン	Spiky Armor Pokémon
0653	Fennekin	Fennekin	Fox Pokémon	キツネポケモン	Fox Pokémon
0654	Braixen	Braixen	Fox Pokémon	キツネポケモン	Fox Pokémon
0655	Delphox	Delphox	Fox Pokémon	キツネポケモン	Fox Pokémon
0656	Froakie	Froakie	Bubble Frog Pokémon	あわがえるポケモン	Foam Frog Pokémon
0657	Frogadier	Frogadier	Bubble Frog Pokémon	あわがえるポケモン	Foam Frog Pokémon
0658	Greninja	Greninja	Ninja Pokémon	しのびポケモン	Ninja Pokémon
0659	Bunnelby	Bunnelby	Digging Pokémon	あなほりポケモン	Burrowing Pokémon
0660	Diggersby	Diggersby	Digging Pokémon	あなほりポケモン	Burrowing Pokémon
0661	Fletchling	Fletchling	Tiny Robin Pokémon	コマドリポケモン	Japanese Robin Pokémon
0662	Fletchinder	Fletchinder	Ember Pokémon	ひのこポケモン	Sparks Pokémon
0663	Talonflame	Talonflame	Scorching Pokémon	れっかポケモン	Raging Fire Pokémon
0664	Scatterbug	Scatterbug	Scatterdust Pokémon	こなふきポケモン	Powder Blowing Pokémon
0665	Spewpa	Spewpa	Scatterdust Pokémon	こなふきポケモン	Powder Blowing Pokémon
0666	Vivillon	Vivillon	Scale Pokémon	りんぷんポケモン	Scale Pokémon
0667	Litleo	Litleo	Lion Cub Pokémon	わかししポケモン	Young Lion Pokémon
0668	Pyroar	Pyroar	Royal Pokémon	おうじゃポケモン	Monarch Pokémon
0669	Flabébé	Flabébé	Single Bloom Pokémon	いちりんポケモン	Single Flower Pokémon
0670	Floette	Floette	Single Bloom Pokémon	いちりんポケモン	Single Flower Pokémon
0671	Florges	Florges	Garden Pokémon	ガーデンポケモン	Garden Pokémon
0672	Skiddo	Skiddo	Mount Pokémon	ライドポケモン	Ride Pokémon
0673	Gogoat	Gogoat	Mount Pokémon	ライドポケモン	Ride Pokémon
0674	Pancham	Pancham	Playful Pokémon	やんちゃポケモン	Naughty Pokémon
0675	Pangoro	Pangoro	Daunting Pokémon	こわもてポケモン	Aggressive Pokémon
0676	Furfrou	Furfrou	Poodle Pokémon	プードルポケモン	Poodle Pokémon
0677	Espurr	Espurr	Restraint Pokémon	じせいポケモン	Self-control Pokémon
0678	Meowstic	Meowstic	Constraint Pokémon	よくせいポケモン	Restraint Pokémon
0679	Honedge	Honedge	Sword Pokémon	とうけんポケモン	Sword Pokémon
0680	Doublade	Doublade	Sword Pokémon	とうけんポケモン	Sword Pokémon
0681	Aegislash	Aegislash	Royal Sword Pokémon	おうけんポケモン	Royal Sword Pokémon
0682	Spritzee	Spritzee	Perfume Pokémon	こうすいポケモン	Perfume Pokémon
0683	Aromatisse	Aromatisse	Fragrance Pokémon	ほうこうポケモン	Fragrance Pokémon
0684	Swirlix	Swirlix	Cotton Candy Pokémon	わたあめポケモン	Cotton Candy Pokémon
0685	Slurpuff	Slurpuff	Meringue Pokémon	ホイップポケモン	Whipped Cream Pokémon
0686	Inkay	Inkay	Revolving Pokémon	かいてんポケモン	Rotation Pokémon
0687	Malamar	Malamar	Overturning Pokémon	ぎゃくてんポケモン	Reversal Pokémon
0688	Binacle	Binacle	Two-Handed Pokémon	ふたてポケモン	Two Groups Pokémon
0689	Barbaracle	Barbaracle	Collective Pokémon	しゅうごうポケモン	Gathering Pokémon
0690	Skrelp	Skrelp	Mock Kelp Pokémon	クサモドキポケモン	Pseudo Grass Pokémon
0691	Dragalge	Dragalge	Mock Kelp Pokémon	クサモドキポケモン	Pseudo Grass Pokémon
0692	Clauncher	Clauncher	Water Gun Pokémon	みずでっぽうポケモン	Water Gun Pokémon
0693	Clawitzer	Clawitzer	Howitzer Pokémon	ランチャーポケモン	Launcher Pokémon
0694	Helioptile	Helioptile	Generator Pokémon	はつでんポケモン	Generator Pokémon
0695	Heliolisk	Heliolisk	Generator Pokémon	はつでんポケモン	Generator Pokémon
0696	Tyrunt	Tyrunt	Royal Heir Pokémon	ようくんポケモン	Young Lord Pokémon
0697	Tyrantrum	Tyrantrum	Despot Pokémon	ぼうくんポケモン	Tyrant Pokémon
0698	Amaura	Amaura	Tundra Pokémon	ツンドラポケモン	Tundra Pokémon
0699	Aurorus	Aurorus	Tundra Pokémon	ツンドラポケモン	Tundra Pokémon
0700	Sylveon	Sylveon	Intertwining Pokémon	むすびつきポケモン	Association Pokémon
0701	Hawlucha	Hawlucha	Wrestling Pokémon	レスリングポケモン	Wrestling Pokémon
0702	Dedenne	Dedenne	Antenna Pokémon	アンテナポケモン	Antenna Pokémon
0703	Carbink	Carbink	Jewel Pokémon	ほうせきポケモン	Jewel Pokémon
0704	Goomy	Goomy	Soft Tissue Pokémon	なんたいポケモン	Soft Body Pokémon
0705	Sliggoo	Sliggoo	Soft Tissue Pokémon	なんたいポケモン	Soft Body Pokémon
0705	Sliggoo	Sliggoo
Hisuian Form	Snail Pokémon	マイマイポケモン	Snail Pokémon
0706	Goodra	Goodra	Dragon Pokémon	ドラゴンポケモン	Dragon Pokémon
0706	Goodra	Goodra
Hisuian Form	Shell Bunker Pokémon	からこもりポケモン	Shelled Pokémon
0707	Klefki	Klefki	Key Ring Pokémon	かぎたばポケモン	Key Ring Pokémon
0708	Phantump	Phantump	Stump Pokémon	きりかぶポケモン	Stump Pokémon
0709	Trevenant	Trevenant	Elder Tree Pokémon	ろうぼくポケモン	Old Tree Pokémon
0710	Pumpkaboo	Pumpkaboo	Pumpkin Pokémon	かぼちゃポケモン	Pumpkin Pokémon
0711	Gourgeist	Gourgeist	Pumpkin Pokémon	かぼちゃポケモン	Pumpkin Pokémon
0712	Bergmite	Bergmite	Ice Chunk Pokémon	ひょうかいポケモン	Ice Floe Pokémon
0713	Avalugg	Avalugg	Iceberg Pokémon	ひょうざんポケモン	Iceberg Pokémon
0714	Noibat	Noibat	Sound Wave Pokémon	おんぱポケモン	Sound Wave Pokémon
0715	Noivern	Noivern	Sound Wave Pokémon	おんぱポケモン	Sound Wave Pokémon
0716	Xerneas	Xerneas	Life Pokémon	せいめいポケモン	Life Pokémon
0717	Yveltal	Yveltal	Destruction Pokémon	はかいポケモン	Destruction Pokémon
0718	Zygarde	Zygarde	Order Pokémon	ちつじょポケモン	Order Pokémon
0719	Diancie	Diancie	Jewel Pokémon	ほうせきポケモン	Jewel Pokémon
0720	Hoopa	Hoopa
Hoopa Confined	Mischief Pokémon	いたずらポケモン	Mischief Pokémon
0720	Hoopa	Hoopa
Hoopa Unbound	Djinn Pokémon	まじんポケモン	Majin Pokémon
0721	Volcanion	Volcanion	Steam Pokémon	スチームポケモン	Steam Pokémon
0722	Rowlet	Rowlet	Grass Quill Pokémon	くさばねポケモン	Grass Feather Pokémon
0723	Dartrix	Dartrix	Blade Quill Pokémon	はばねポケモン	Blade Feather Pokémon
0724	Decidueye	Decidueye	Arrow Quill Pokémon	やばねポケモン	Arrow Feather Pokémon
0725	Litten	Litten	Fire Cat Pokémon	ひねこポケモン	Fire Cat Pokémon
0726	Torracat	Torracat	Fire Cat Pokémon	ひねこポケモン	Fire Cat Pokémon
0727	Incineroar	Incineroar	Heel Pokémon	ヒールポケモン	Heel Pokémon
0728	Popplio	Popplio	Sea Lion Pokémon	あしかポケモン	Sea Lion Pokémon
0729	Brionne	Brionne	Pop Star Pokémon	アイドルポケモン	Idol Pokémon
0730	Primarina	Primarina	Soloist Pokémon	ソリストポケモン	Soloist Pokémon
0731	Pikipek	Pikipek	Woodpecker Pokémon	きつつきポケモン	Woodpecker Pokémon
0732	Trumbeak	Trumbeak	Bugle Beak Pokémon	ラッパぐちポケモン	Bugle Beak Pokémon
0733	Toucannon	Toucannon	Cannon Pokémon	おおづつポケモン	Cannon Pokémon
0734	Yungoos	Yungoos	Loitering Pokémon	うろつきポケモン	Prowling Pokémon
0735	Gumshoos	Gumshoos	Stakeout Pokémon	はりこみポケモン	Stakeout Pokémon
0736	Grubbin	Grubbin	Larva Pokémon	ようちゅうポケモン	Larva Pokémon
0737	Charjabug	Charjabug	Battery Pokémon	バッテリーポケモン	Battery Pokémon
0738	Vikavolt	Vikavolt	Stag Beetle Pokémon	くわがたポケモン	Stag Beetle Pokémon
0739	Crabrawler	Crabrawler	Boxing Pokémon	けんとうポケモン	Boxing Pokémon
0740	Crabominable	Crabominable	Woolly Crab Pokémon	けがにポケモン	Horsehair Crab Pokémon
0741	Oricorio	Oricorio	Dancing Pokémon	ダンスポケモン	Dance Pokémon
0742	Cutiefly	Cutiefly	Bee Fly Pokémon	ツリアブポケモン	Bee Fly Pokémon
0743	Ribombee	Ribombee	Bee Fly Pokémon	ツリアブポケモン	Bee Fly Pokémon
0744	Rockruff	Rockruff	Puppy Pokémon	こいぬポケモン	Puppy Pokémon
0745	Lycanroc	Lycanroc	Wolf Pokémon	オオカミポケモン	Wolf Pokémon
0746	Wishiwashi	Wishiwashi	Small Fry Pokémon	こざかなポケモン	Small Fish Pokémon
0747	Mareanie	Mareanie	Brutal Star Pokémon	ヒトデナシポケモン	Brute Pokémon
0748	Toxapex	Toxapex	Brutal Star Pokémon	ヒトデナシポケモン	Brute Pokémon
0749	Mudbray	Mudbray	Donkey Pokémon	うさぎうまポケモン	Donkey Pokémon
0750	Mudsdale	Mudsdale	Draft Horse Pokémon	ばんばポケモン	Draft Horse Pokémon
0751	Dewpider	Dewpider	Water Bubble Pokémon	すいほうポケモン	Water Bubble Pokémon
0752	Araquanid	Araquanid	Water Bubble Pokémon	すいほうポケモン	Water Bubble Pokémon
0753	Fomantis	Fomantis	Sickle Grass Pokémon	かまくさポケモン	Sickle Grass Pokémon
0754	Lurantis	Lurantis	Bloom Sickle Pokémon	はなかまポケモン	Flower Sickle Pokémon
0755	Morelull	Morelull	Illuminating Pokémon	はっこうポケモン	Luminescence Pokémon
0756	Shiinotic	Shiinotic	Illuminating Pokémon	はっこうポケモン	Luminescence Pokémon
0757	Salandit	Salandit	Toxic Lizard Pokémon	どくトカゲポケモン	Poison Lizard Pokémon
0758	Salazzle	Salazzle	Toxic Lizard Pokémon	どくトカゲポケモン	Poison Lizard Pokémon
0759	Stufful	Stufful	Flailing Pokémon	じたばたポケモン	Flailing Pokémon
0760	Bewear	Bewear	Strong Arm Pokémon	ごうわんポケモン	Strong Arm Pokémon
0761	Bounsweet	Bounsweet	Fruit Pokémon	フルーツポケモン	Fruit Pokémon
0762	Steenee	Steenee	Fruit Pokémon	フルーツポケモン	Fruit Pokémon
0763	Tsareena	Tsareena	Fruit Pokémon	フルーツポケモン	Fruit Pokémon
0764	Comfey	Comfey	Posy Picker Pokémon	はなつみポケモン	Flower Picker Pokémon
0765	Oranguru	Oranguru	Sage Pokémon	けんじゃポケモン	Sage Pokémon
0766	Passimian	Passimian	Teamwork Pokémon	れんけいポケモン	Cooperation Pokémon
0767	Wimpod	Wimpod	Turn Tail Pokémon	そうこうポケモン	Bustling Pokémon
0768	Golisopod	Golisopod	Hard Scale Pokémon	そうこうポケモン	Armored Pokémon
0769	Sandygast	Sandygast	Sand Heap Pokémon	すなやまポケモン	Sand Pile Pokémon
0770	Palossand	Palossand	Sand Castle Pokémon	すなのしろポケモン	Sand Castle Pokémon
0771	Pyukumuku	Pyukumuku	Sea Cucumber Pokémon	なまこポケモン	Sea Cucumber Pokémon
0772	Type: Null	Type: Null	Synthetic Pokémon	じんこうポケモン	Man-made Pokémon
0773	Silvally	Silvally	Synthetic Pokémon	じんこうポケモン	Man-made Pokémon
0774	Minior	Minior	Meteor Pokémon	ながれぼしポケモン	Meteor Pokémon
0775	Komala	Komala	Drowsing Pokémon	ゆめうつつポケモン	Trance Pokémon
0776	Turtonator	Turtonator	Blast Turtle Pokémon	ばくはつがめポケモン	Explosion Turtle Pokémon
0777	Togedemaru	Togedemaru	Roly-Poly Pokémon	まるまりポケモン	Circle Ball Pokémon
0778	Mimikyu	Mimikyu	Disguise Pokémon	ばけのかわポケモン	Disguise Pokémon
0779	Bruxish	Bruxish	Gnash Teeth Pokémon	はぎしりポケモン	Bruxism Pokémon
0780	Drampa	Drampa	Placid Pokémon	ゆうゆうポケモン	Calm Pokémon
0781	Dhelmise	Dhelmise	Sea Creeper Pokémon	もくずポケモン	Seaweed Pokémon
0782	Jangmo-o	Jangmo-o	Scaly Pokémon	うろこポケモン	Scale Pokémon
0783	Hakamo-o	Hakamo-o	Scaly Pokémon	うろこポケモン	Scale Pokémon
0784	Kommo-o	Kommo-o	Scaly Pokémon	うろこポケモン	Scale Pokémon
0785	Tapu Koko	Tapu Koko	Land Spirit Pokémon	とちがみポケモン	Land Spirit Pokémon
0786	Tapu Lele	Tapu Lele	Land Spirit Pokémon	とちがみポケモン	Land Spirit Pokémon
0787	Tapu Bulu	Tapu Bulu	Land Spirit Pokémon	とちがみポケモン	Land Spirit Pokémon
0788	Tapu Fini	Tapu Fini	Land Spirit Pokémon	とちがみポケモン	Land Spirit Pokémon
0789	Cosmog	Cosmog	Nebula Pokémon	せいうんポケモン	Nebula Pokémon
0790	Cosmoem	Cosmoem	Protostar Pokémon	げんしせいポケモン	Protostar Pokémon
0791	Solgaleo	Solgaleo	Sunne Pokémon	にちりんポケモン	Sun Pokémon
0792	Lunala	Lunala	Moone Pokémon	がちりんポケモン	Moon Pokémon
0793	Nihilego	Nihilego	Parasite Pokémon	きせいポケモン	Parasite Pokémon
0794	Buzzwole	Buzzwole	Swollen Pokémon	ぼうちょうポケモン	Swollen Pokémon
0795	Pheromosa	Pheromosa	Lissome Pokémon	えんびポケモン	Beauty Pokémon
0796	Xurkitree	Xurkitree	Glowing Pokémon	でんしょくポケモン	Glowing Pokémon
0797	Celesteela	Celesteela	Launch Pokémon	うちあげポケモン	Launch Pokémon
0798	Kartana	Kartana	Drawn Sword Pokémon	ばっとうポケモン	Drawn Sword Pokémon
0799	Guzzlord	Guzzlord	Junkivore Pokémon	あくじきポケモン	Allotriophage Pokémon
0800	Necrozma	Necrozma	Prism Pokémon	プリズムポケモン	Prism Pokémon
0801	Magearna	Magearna	Artificial Pokémon	じんぞうポケモン	Artificial Pokémon
0802	Marshadow	Marshadow	Gloomdweller Pokémon	かげすみポケモン	Shadow Dweller Pokémon
0803	Poipole	Poipole	Poison Pin Pokémon	どくばりポケモン	Poison Pin Pokémon
0804	Naganadel	Naganadel	Poison Pin Pokémon	どくばりポケモン	Poison Pin Pokémon
0805	Stakataka	Stakataka	Rampart Pokémon	いしがきポケモン	Stone Wall Pokémon
0806	Blacephalon	Blacephalon	Fireworks Pokémon	はなびポケモン	Fireworks Pokémon
0807	Zeraora	Zeraora	Thunderclap Pokémon	じんらいポケモン	Thunderclap Pokémon
0808	Meltan	Meltan	Hex Nut Pokémon	ナットポケモン	Nut Pokémon
0809	Melmetal	Melmetal	Hex Nut Pokémon	ナットポケモン	Nut Pokémon
0810	Grookey	Grookey	Chimp Pokémon	こざるポケモン	Small Monkey Pokémon
0811	Thwackey	Thwackey	Beat Pokémon	ビートポケモン	Beat Pokémon
0812	Rillaboom	Rillaboom	Drummer Pokémon	ドラマーポケモン	Drummer Pokémon
0813	Scorbunny	Scorbunny	Rabbit Pokémon	うさぎポケモン	Rabbit Pokémon
0814	Raboot	Raboot	Rabbit Pokémon	うさぎポケモン	Rabbit Pokémon
0815	Cinderace	Cinderace	Striker Pokémon	ストライカーポケモン	Striker Pokémon
0816	Sobble	Sobble	Water Lizard Pokémon	みずとかげポケモン	Water Lizard Pokémon
0817	Drizzile	Drizzile	Water Lizard Pokémon	みずとかげポケモン	Water Lizard Pokémon
0818	Inteleon	Inteleon	Secret Agent Pokémon	エージェントポケモン	Agent Pokémon
0819	Skwovet	Skwovet	Cheeky Pokémon	ほおばりポケモン	Stuffed Cheeks Pokémon
0820	Greedent	Greedent	Greedy Pokémon	よくばりポケモン	Greedy Pokémon
0821	Rookidee	Rookidee	Tiny Bird Pokémon	ことりポケモン	Tiny Bird Pokémon
0822	Corvisquire	Corvisquire	Raven Pokémon	カラスポケモン	Raven Pokémon
0823	Corviknight	Corviknight	Raven Pokémon	カラスポケモン	Raven Pokémon
0824	Blipbug	Blipbug	Larva Pokémon	ようちゅうポケモン	Larva Pokémon
0825	Dottler	Dottler	Radome Pokémon	レドームポケモン	Radome Pokémon
0826	Orbeetle	Orbeetle	Seven Spot Pokémon	ななほしポケモン	Seven Spot Pokémon
0827	Nickit	Nickit	Fox Pokémon	きつねポケモン	Fox Pokémon
0828	Thievul	Thievul	Fox Pokémon	きつねポケモン	Fox Pokémon
0829	Gossifleur	Gossifleur	Flowering Pokémon	はなかざりポケモン	Flower Decoration Pokémon
0830	Eldegoss	Eldegoss	Cotton Bloom Pokémon	わたかざりポケモン	Cotton Decoration Pokémon
0831	Wooloo	Wooloo	Sheep Pokémon	ひつじポケモン	Sheep Pokémon
0832	Dubwool	Dubwool	Sheep Pokémon	ひつじポケモン	Sheep Pokémon
0833	Chewtle	Chewtle	Snapping Pokémon	くいつきポケモン	Snapping Pokémon
0834	Drednaw	Drednaw	Bite Pokémon	かみつきポケモン	Bite Pokémon
0835	Yamper	Yamper	Puppy Pokémon	こいぬポケモン	Puppy Pokémon
0836	Boltund	Boltund	Dog Pokémon	いぬポケモン	Dog Pokémon
0837	Rolycoly	Rolycoly	Coal Pokémon	せきたんポケモン	Coal Pokémon
0838	Carkol	Carkol	Coal Pokémon	せきたんポケモン	Coal Pokémon
0839	Coalossal	Coalossal	Coal Pokémon	せきたんポケモン	Coal Pokémon
0840	Applin	Applin	Apple Core Pokémon	りんごぐらしポケモン	Apple Living Pokémon
0841	Flapple	Flapple	Apple Wing Pokémon	りんごはねポケモン	Apple Wing Pokémon
0842	Appletun	Appletun	Apple Nectar Pokémon	りんごじるポケモン	Apple Juice Pokémon
0843	Silicobra	Silicobra	Sand Snake Pokémon	すなへびポケモン	Sand Snake Pokémon
0844	Sandaconda	Sandaconda	Sand Snake Pokémon	すなへびポケモン	Sand Snake Pokémon
0845	Cramorant	Cramorant	Gulp Pokémon	うのみポケモン	Gulp Pokémon
0846	Arrokuda	Arrokuda	Rush Pokémon	とつげきポケモン	Rush Pokémon
0847	Barraskewda	Barraskewda	Skewer Pokémon	くしざしポケモン	Skewer Pokémon
0848	Toxel	Toxel	Baby Pokémon	あかごポケモン	Baby Pokémon
0849	Toxtricity	Toxtricity	Punk Pokémon	パンクポケモン	Punk Pokémon
0850	Sizzlipede	Sizzlipede	Radiator Pokémon	はつねつポケモン	Heat Generation Pokémon
0851	Centiskorch	Centiskorch	Radiator Pokémon	はつねつポケモン	Heat Generation Pokémon
0852	Clobbopus	Clobbopus	Tantrum Pokémon	だだっこポケモン	Spoiled Pokémon
0853	Grapploct	Grapploct	Jujitsu Pokémon	じゅうじゅつポケモン	Jujutsu Pokémon
0854	Sinistea	Sinistea	Black Tea Pokémon	こうちゃポケモン	Black Tea Pokémon
0855	Polteageist	Polteageist	Black Tea Pokémon	こうちゃポケモン	Black Tea Pokémon
0856	Hatenna	Hatenna	Calm Pokémon	おだやかポケモン	Calm Pokémon
0857	Hattrem	Hattrem	Serene Pokémon	せいしゅくポケモン	Quiet Pokémon
0858	Hatterene	Hatterene	Silent Pokémon	せいじゃくポケモン	Silent Pokémon
0859	Impidimp	Impidimp	Wily Pokémon	いじわるポケモン	Malicious Pokémon
0860	Morgrem	Morgrem	Devious Pokémon	しょうわるポケモン	Ill-Natured Pokémon
0861	Grimmsnarl	Grimmsnarl	Bulk Up Pokémon	ビルドアップポケモン	Buildup Pokémon
0862	Obstagoon	Obstagoon	Blocking Pokémon	ていしポケモン	Blocking Pokémon
0863	Perrserker	Perrserker	Viking Pokémon	バイキングポケモン	Viking Pokémon
0864	Cursola	Cursola	Coral Pokémon	さんごポケモン	Coral Pokémon
0865	Sirfetch'd	Sirfetch'd	Wild Duck Pokémon	かるがもポケモン	Spot-Billed Duck Pokémon
0866	Mr. Rime	Mr. Rime	Comedian Pokémon	コメディアンポケモン	Comedian Pokémon
0867	Runerigus	Runerigus	Grudge Pokémon	おんねんポケモン	Grudge Pokémon
0868	Milcery	Milcery	Cream Pokémon	クリームポケモン	Cream Pokémon
0869	Alcremie	Alcremie	Cream Pokémon	クリームポケモン	Cream Pokémon
0870	Falinks	Falinks	Formation Pokémon	じんけいポケモン	Battle Formation Pokémon
0871	Pincurchin	Pincurchin	Sea Urchin Pokémon	うにポケモン	Sea Urchin Pokémon
0872	Snom	Snom	Worm Pokémon	いもむしポケモン	Caterpillar Pokémon
0873	Frosmoth	Frosmoth	Frost Moth Pokémon	こおりがポケモン	Ice Moth Pokémon
0874	Stonjourner	Stonjourner	Big Rock Pokémon	きょせきポケモン	Megalith Pokémon
0875	Eiscue	Eiscue	Penguin Pokémon	ペンギンポケモン	Penguin Pokémon
0876	Indeedee	Indeedee	Emotion Pokémon	かんじょうポケモン	Emotion Pokémon
0877	Morpeko	Morpeko	Two-Sided Pokémon	にめんポケモン	Two-Faced Pokémon
0878	Cufant	Cufant	Copperderm Pokémon	どうぞうポケモン	Bronze Statue Pokémon
0879	Copperajah	Copperajah	Copperderm Pokémon	どうぞうポケモン	Bronze Statue Pokémon
0880	Dracozolt	Dracozolt	Fossil Pokémon	かせきポケモン	Fossil Pokémon
0881	Arctozolt	Arctozolt	Fossil Pokémon	かせきポケモン	Fossil Pokémon
0882	Dracovish	Dracovish	Fossil Pokémon	かせきポケモン	Fossil Pokémon
0883	Arctovish	Arctovish	Fossil Pokémon	かせきポケモン	Fossil Pokémon
0884	Duraludon	Duraludon	Alloy Pokémon	ごうきんポケモン	Alloy Pokémon
0885	Dreepy	Dreepy	Lingering Pokémon	うらめしポケモン	Reproachful Pokémon
0886	Drakloak	Drakloak	Caretaker Pokémon	せわやくポケモン	Caretaker Pokémon
0887	Dragapult	Dragapult	Stealth Pokémon	ステルスポケモン	Stealth Pokémon
0888	Zacian	Zacian	Warrior Pokémon	つわものポケモン	Warrior Pokémon
0889	Zamazenta	Zamazenta	Warrior Pokémon	つわものポケモン	Warrior Pokémon
0890	Eternatus	Eternatus	Gigantic Pokémon	キョダイポケモン	Gigantic Pokémon
0891	Kubfu	Kubfu	Wushu Pokémon	けんぽうポケモン	Kenpo Pokémon
0892	Urshifu	Urshifu	Wushu Pokémon	けんぽうポケモン	Kenpo Pokémon
0893	Zarude	Zarude	Rogue Monkey Pokémon	わるざるポケモン	Bad Monkey Pokémon
0894	Regieleki	Regieleki	Electron Pokémon	エレクトロンポケモン	Electron Pokémon
0895	Regidrago	Regidrago	Dragon Orb Pokémon	りゅうぎょくポケモン	Dragon Ball Pokémon
0896	Glastrier	Glastrier	Wild Horse Pokémon	あばれうまポケモン	Rampage Horse Pokémon
